Date,close_week_average
5/10/2023,4129.926
5/9/2023,4129.926
5/8/2023,4129.926
5/5/2023,4115.134
5/4/2023,4115.134
5/3/2023,4115.134
5/2/2023,4115.134
5/1/2023,4115.134
4/28/2023,4113.898
4/27/2023,4113.898
4/26/2023,4113.898
4/25/2023,4113.898
4/24/2023,4113.898
4/21/2023,4144.804
4/20/2023,4144.804
4/19/2023,4144.804
4/18/2023,4144.804
4/17/2023,4144.804
4/14/2023,4118.772
4/13/2023,4118.772
4/12/2023,4118.772
4/11/2023,4118.772
4/10/2023,4118.772
4/6/2023,4105.1275
4/5/2023,4105.1275
4/4/2023,4105.1275
4/3/2023,4105.1275
3/31/2023,4027.35
3/30/2023,4027.35
3/29/2023,4027.35
3/28/2023,4027.35
3/27/2023,4027.35
3/24/2023,3962.224
3/23/2023,3962.224
3/22/2023,3962.224
3/21/2023,3962.224
3/20/2023,3962.224
3/17/2023,3908.78
3/16/2023,3908.78
3/15/2023,3908.78
3/14/2023,3908.78
3/13/2023,3908.78
3/10/2023,3961.342
3/9/2023,3961.342
3/8/2023,3961.342
3/7/2023,3961.342
3/6/2023,3961.342
3/3/2023,3986.154
3/2/2023,3986.154
3/1/2023,3986.154
2/28/2023,3986.154
2/27/2023,3986.154
2/24/2023,3992.6875
2/23/2023,3992.6875
2/22/2023,3992.6875
2/21/2023,3992.6875
2/17/2023,4118.104
2/16/2023,4118.104
2/15/2023,4118.104
2/14/2023,4118.104
2/13/2023,4118.104
2/10/2023,4112.98
2/9/2023,4112.98
2/8/2023,4112.98
2/7/2023,4112.98
2/6/2023,4112.98
2/3/2023,4105.964
2/2/2023,4105.964
2/1/2023,4105.964
1/31/2023,4105.964
1/30/2023,4105.964
1/27/2023,4036.794
1/26/2023,4036.794
1/25/2023,4036.794
1/24/2023,4036.794
1/23/2023,4036.794
1/20/2023,3947.8225
1/19/2023,3947.8225
1/18/2023,3947.8225
1/17/2023,3947.8225
1/13/2023,3952.642
1/12/2023,3952.642
1/11/2023,3952.642
1/10/2023,3952.642
1/9/2023,3952.642
1/6/2023,3845.0725
1/5/2023,3845.0725
1/4/2023,3845.0725
1/3/2023,3845.0725
12/30/2022,3825.3125
12/29/2022,3825.3125
12/28/2022,3825.3125
12/27/2022,3825.3125
12/23/2022,3836.986
12/22/2022,3836.986
12/21/2022,3836.986
12/20/2022,3836.986
12/19/2022,3836.986
12/16/2022,3950.728
12/15/2022,3950.728
12/14/2022,3950.728
12/13/2022,3950.728
12/12/2022,3950.728
12/9/2022,3954.382
12/8/2022,3954.382
12/7/2022,3954.382
12/6/2022,3954.382
12/5/2022,3954.382
12/2/2022,4029.99
12/1/2022,4029.99
11/30/2022,4029.99
11/29/2022,4029.99
11/28/2022,4029.99
11/25/2022,4001.725
11/23/2022,4001.725
11/22/2022,4001.725
11/21/2022,4001.725
11/18/2022,3963.934
11/17/2022,3963.934
11/16/2022,3963.934
11/15/2022,3963.934
11/14/2022,3963.934
11/11/2022,3866.556
11/10/2022,3866.556
11/9/2022,3866.556
11/8/2022,3866.556
11/7/2022,3866.556
11/4/2022,3795.642
11/3/2022,3795.642
11/2/2022,3795.642
11/1/2022,3795.642
10/31/2022,3795.642
10/28/2022,3839.082
10/27/2022,3839.082
10/26/2022,3839.082
10/25/2022,3839.082
10/24/2022,3839.082
10/21/2022,3702.324
10/20/2022,3702.324
10/19/2022,3702.324
10/18/2022,3702.324
10/17/2022,3702.324
10/14/2022,3606.248
10/13/2022,3606.248
10/12/2022,3606.248
10/11/2022,3606.248
10/10/2022,3606.248
10/7/2022,3727.364
10/6/2022,3727.364
10/5/2022,3727.364
10/4/2022,3727.364
10/3/2022,3727.364
9/30/2022,3649.492
9/29/2022,3649.492
9/28/2022,3649.492
9/27/2022,3649.492
9/26/2022,3649.492
9/23/2022,3799.394
9/22/2022,3799.394
9/21/2022,3799.394
9/20/2022,3799.394
9/19/2022,3799.394
9/16/2022,3952.758
9/15/2022,3952.758
9/14/2022,3952.758
9/13/2022,3952.758
9/12/2022,3952.758
9/9/2022,3990.4
9/8/2022,3990.4
9/7/2022,3990.4
9/6/2022,3990.4
9/2/2022,3972.576
9/1/2022,3972.576
8/31/2022,3972.576
8/30/2022,3972.576
8/29/2022,3972.576
8/26/2022,4132.854
8/25/2022,4132.854
