"Date","tech"
2021-03-22,7679.462
2021-03-19,7679.462
2021-03-18,7765.642
2021-03-17,7765.642
2021-03-16,7765.642
2021-03-15,7765.642
2021-03-12,7765.642
2021-03-11,7521.04
2021-03-10,7521.04
2021-03-09,7521.04
2021-03-08,7521.04
2021-03-05,7521.04
2021-03-04,7809.764
2021-03-03,7809.764
2021-03-02,7809.764
2021-03-01,7809.764
2021-02-26,7809.764
2021-02-25,8118.316
2021-02-24,8118.316
2021-02-23,8118.316
2021-02-22,8118.316
2021-02-19,8118.316
2021-02-18,8393.5925
2021-02-17,8393.5925
2021-02-16,8393.5925
2021-02-12,8393.5925
2021-02-11,8170.306
2021-02-10,8170.306
2021-02-09,8170.306
2021-02-08,8170.306
2021-02-05,8170.306
2021-02-04,7845.69
2021-02-03,7845.69
2021-02-02,7845.69
2021-02-01,7845.69
2021-01-29,7845.69
2021-01-28,7805.168
2021-01-27,7805.168
2021-01-26,7805.168
2021-01-25,7805.168
2021-01-22,7805.168
2021-01-21,7907.5325
2021-01-20,7907.5325
2021-01-19,7907.5325
2021-01-15,7907.5325
2021-01-14,7771.296
2021-01-13,7771.296
2021-01-12,7771.296
2021-01-11,7771.296
2021-01-08,7771.296
2021-01-07,7526.51
2021-01-06,7526.51
2021-01-05,7526.51
2021-01-04,7526.51
